CustomerID,FirstName,LastName,Gender,BirthDate,City,JoinDate
C001,Michael,Davis,M,11-09-96,Osborneport,25-09-22
C002,Michael,Miller,M,18-08-59,New Gabrielleport,03-11-20
C003,Carol,Hays,F,19-04-05,Port Allen,12-02-24
C004,Joseph,Ward,M,16-06-92,East Edgarborough,09-09-24
C005,Jamie,Salinas,M,18-06-92,Port Kimberly,24-02-22
C006,Danny,Moore,M,03-10-86,Costaberg,09-07-22
C007,Erin,Walker,M,11-01-85,West Jasmine,13-10-21
C008,Isaiah,Williams,M,13-11-60,New Michaelland,04-03-25
C009,Richard,Pacheco,F,15-08-04,West Lisaville,17-04-25
C010,Catherine,Rice,M,12-12-76,West Carol,23-07-25
C011,Haley,Williams,M,03-03-97,Leburgh,12-05-23
C012,Dale,Perry,M,08-12-89,Lake Dawn,16-07-21
C013,Robert,Anderson,M,28-01-55,Jillianhaven,22-03-23
C014,Brittany,Green,M,25-06-74,East Samantha,09-11-21
C015,Matthew,Molina,M,12-12-93,Quinnville,27-11-22
C016,Miguel,Johnson,M,27-04-76,Murrayborough,21-02-22
C017,Vanessa,Anderson,F,11-03-82,Peterside,25-09-24
C018,Breanna,Davis,M,19-08-94,East William,12-11-24
C019,John,Smith,F,16-05-98,Stephaniechester,17-05-23
C020,Ryan,Cole,F,26-06-82,Travisstad,19-04-24
C021,Debbie,Martin,M,17-11-93,Meganmouth,22-01-22
C022,Megan,Velasquez,M,16-11-55,East James,02-10-20
C023,Mark,Martinez,F,09-05-72,New Christophermouth,19-10-20
C024,Molly,Murray,F,25-11-61,North April,20-04-23
C025,Cheryl,Gilbert,F,12-03-71,Bradyshire,14-01-22
C026,Justin,Macdonald,M,04-01-04,Shepherdburgh,03-09-24
C027,Jacqueline,Martin,M,05-02-59,Robertmouth,30-08-23
C028,John,Carr,F,10-02-60,New David,16-12-22
C029,Tyler,Levine,M,20-05-78,West Charles,30-08-21
C030,Lacey,Hall,M,10-06-02,Thomashaven,27-08-22
C031,Ashley,Gibson,F,14-03-03,East Carrieberg,26-08-25
C032,Valerie,Macdonald,M,09-11-92,East Shelby,12-01-21
C033,Jenny,Beck,F,27-07-78,Lake Cody,17-03-25
C034,Kari,Miller,F,19-12-64,East Mary,13-01-25
C035,Kimberly,King,F,19-04-91,North George,22-03-23
C036,Michael,Cervantes,M,04-11-91,Ashleyview,30-09-20
C037,Miranda,Nelson,F,30-08-82,West Melissahaven,31-01-24
C038,Tracey,Davis,M,19-04-74,Wilsonbury,10-05-21
C039,Nancy,Savage,F,02-11-96,Port Sandra,17-10-22
C040,Scott,Powell,M,06-11-74,Port Miguel,12-07-22
C041,Melissa,Rodgers,F,03-07-80,North Sharontown,24-01-23
C042,Anna,Andrews,F,08-02-00,North Teresashire,09-11-21
C043,Kenneth,Allen,M,14-09-88,North Jonathonhaven,14-10-23
C044,Parker,Sparks,M,14-02-61,Bryanside,27-12-24
C045,Kelly,Shaw,M,28-12-75,Zacharyfort,09-10-23
C046,Dennis,Poole,M,21-01-64,New Jontown,25-06-22
C047,Mary,Decker,F,03-07-06,Port Jessica,25-02-25
C048,Alexis,Crane,M,30-12-04,Newtonborough,10-04-22
C049,Antonio,Hamilton,M,03-01-97,Chambersview,23-06-22
C050,Kelly,Mcmillan,M,20-06-68,Erinland,25-08-22
C051,Madison,Sellers,F,19-12-04,Boyerstad,25-02-24
C052,Billy,Hernandez,F,11-09-91,Walkerfurt,25-04-24
C053,Felicia,Morgan,F,20-04-98,Lake Michaelshire,07-04-24
C054,Crystal,Johnson,F,10-11-02,New Kathleentown,19-03-21
C055,Deborah,Moody,M,09-07-76,Andersonville,05-02-21
C056,Carl,Wyatt,F,23-09-04,North Tracey,19-06-21
C057,Julie,Gibson,F,26-09-98,Williamsville,26-03-23
C058,Lawrence,Stewart,M,22-07-05,West Tinatown,10-11-20
C059,Scott,Wyatt,F,11-05-63,New Meagan,27-09-24
C060,Anthony,Conway,M,09-10-97,Carlyberg,15-06-25
C061,Heather,Russell,M,21-10-68,North Michellemouth,01-02-21
C062,Susan,Salinas,M,21-06-00,Turnerberg,23-09-21
C063,Michael,Johnson,M,07-01-73,West Amandashire,29-05-23
C064,Amanda,Hoover,F,01-09-73,Brittanyburgh,26-09-24
C065,Scott,Duke,F,10-12-69,Williamhaven,21-01-24
C066,Jason,Jenkins,F,14-09-85,New Randychester,21-12-20
C067,Daniel,Maldonado,M,07-09-73,Davisfurt,11-03-21
C068,Alexandra,Montoya,F,09-06-81,New Julia,13-06-24
C069,Gabriel,Daugherty,M,14-10-65,New Reginald,11-01-23
C070,Eric,Bryan,M,24-10-71,Taylorhaven,04-03-21
C071,Denise,Gutierrez,M,18-06-62,New Manuelville,24-05-21
C072,Eric,Watkins,F,06-06-95,Melissashire,02-07-22
C073,Carl,Armstrong,F,04-12-64,Port Angelabury,09-02-22
C074,Jesus,Singh,F,31-05-59,Port Michaelstad,09-02-23
C075,Seth,Moore,M,17-09-54,New John,12-05-21
C076,Phyllis,Durham,M,14-12-05,Nancyside,07-05-22
C077,Matthew,Juarez,F,24-12-02,North Meagan,21-10-22
C078,Jeanne,Young,M,25-09-88,Craigport,14-01-25
C079,Donald,Marsh,F,15-06-79,North Bradleyfurt,06-07-24
C080,Grace,Garcia,F,04-11-03,Markberg,02-01-23
C081,Sarah,Reynolds,F,20-07-88,South Christinabury,22-09-22
C082,Amy,Haley,M,11-05-03,Vasquezmouth,29-06-24
C083,Jeremy,Robles,F,29-03-81,West Josephport,08-02-22
C084,Amanda,Lee,M,19-03-72,Meyersstad,04-09-24
C085,Juan,Ramirez,M,23-03-79,New Michaelview,11-10-23
C086,Lawrence,Hunter,F,26-09-75,Port Stephanie,26-07-23
C087,Laurie,Mason,F,22-06-75,Berrymouth,02-07-25
C088,Brenda,Costa,F,11-10-97,North Christian,12-09-22
C089,William,Warner,F,12-07-69,Geoffreystad,25-11-22
C090,Carrie,Peterson,M,18-08-75,Fergusonview,16-01-22
C091,Brian,Fowler,M,04-02-63,Port Williamhaven,23-08-21
C092,Lindsey,Holder,F,28-11-01,Mendozaland,17-12-23
C093,Stanley,Brown,M,14-04-78,Baldwinstad,25-02-22
C094,Kimberly,Stokes,M,18-10-62,Seanland,07-08-25
C095,Kevin,Snyder,M,20-08-82,Seanville,19-12-20
C096,Eric,King,M,06-01-89,Lake Amanda,27-10-21
C097,Evelyn,Gray,M,14-08-94,Wardfort,14-06-25
C098,Lisa,Vega,F,09-01-05,East Colinmouth,22-05-23
C099,Kimberly,Jones,M,22-07-64,Hansonhaven,17-01-21
C100,Sean,Hart,F,28-09-54,North Jason,06-11-24
C101,William,Pope,F,29-05-56,North Gary,08-09-24
C102,Carolyn,Perez,F,20-06-96,South Briantown,12-11-23
